OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1,1,1,101110,1011.1,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1676518.629,5565.411341
2,1,2,101122,1011.22,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3881000.543,11695.30428
3,1,3,101220,1012.2,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1025452.086,4688.607147
4,1,4,101221,1012.21,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,519705.7031,3378.824327
5,1,5,101222,1012.22,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,435061.8672,3685.233312
6,1,6,101300,1013,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3786000.676,10858.70612
7,1,7,101400,1014,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,9256640.508,15739.59422
8,1,8,102103,1021.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1739800.41,6028.751355
9,1,9,102104,1021.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2431516.102,10170.01702
10,1,10,102105,1021.05,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,722302.5078,3676.706346
11,1,11,102107,1021.07,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,18955558.68,23492.95085
12,1,12,103101,1031.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2979791.75,9383.135797
13,1,13,103102,1031.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1821420.578,6100.162912
14,1,14,103201,1032.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2869150.496,6731.000829
15,1,15,103202,1032.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,6956318.82,16867.4248
16,1,16,103300,1033,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,9013128.063,13780.55498
17,1,17,103401,1034.01,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2056696.621,7552.814965
18,1,18,103402,1034.02,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1612863.566,5406.011633
19,2,19,104103,1041.03,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1393597.656,4886.684425
20,2,20,104105,1041.05,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,858384.0898,4298.396517
21,2,21,104108,1041.08,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1609878.305,7002.327129
22,1,22,104124,1041.24,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,,KAGEL / LOPEZ CANYONS,UNINCORPORATED AREA,3,San Fernando Valley Planning Area,6579433.18,14622.37595
23,1,23,104201,1042.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1600779.582,5470.886398
24,1,24,104203,1042.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1039483.902,4082.250372
25,2,25,104204,1042.04,5TH SUP. DISTRICT,5TH DISTRICT: KATHRYN BARGER,5,LOS ANGELES,KAGEL / LOPEZ CANYONS,INCORPORATED/UNINCORPORATED,3,San Fernando Valley Planning Area,3912763.352,11156.47801
26,1,26,104310,1043.1,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2214855.191,7054.246484
27,1,27,104321,1043.21,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,763132.1719,3929.583984
28,1,28,104322,1043.22,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1016349.707,5394.845858
29,1,29,104401,1044.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,999745.4414,4589.251346
30,1,30,104403,1044.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1017108.273,5936.158358
31,1,31,104404,1044.04,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,791998.2305,4037.761689
32,1,32,104500,1045,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,779197.6875,4173.335285
33,1,33,104610,1046.1,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,869006.8008,4283.907441
34,1,34,104620,1046.2,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,779486.5742,4173.368686
35,1,35,104701,1047.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,808058.4922,4097.840949
36,2,36,104703,1047.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1714278.664,5648.184768
37,2,37,104704,1047.04,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2440883.133,6250.26396
38,1,38,104821,1048.21,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,780206.0313,4173.47144
39,1,39,104822,1048.22,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,886628.6523,5084.599113
40,1,40,104823,1048.23,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,779562.7773,4173.062338
41,1,41,104824,1048.24,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,868662.8438,4283.610549
42,2,42,106010,1060.1,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3700725.219,8854.718512
43,2,43,106020,1060.2,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2965683.121,8581.928029
44,2,44,106111,1061.11,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,4095242.762,10347.65945
45,2,45,106112,1061.12,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,4743069.059,18394.71355
46,1,46,106113,1061.13,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2120675.984,7326.531619
47,1,47,106114,1061.14,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1490218.309,6367.647121
48,1,48,106403,1064.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1624357.617,5283.375993
49,1,49,106405,1064.05,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1721808.488,5354.962363
50,1,50,106406,1064.06,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2959617.547,7807.68513
51,1,51,106407,1064.07,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,341078.7422,2348.341347
52,1,52,106408,1064.08,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,336598.6758,2326.259873
53,2,53,106510,1065.1,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,2,San Fernando Valley Planning Area,8510516.91,13673.29731
54,1,54,106520,1065.2,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3240995.09,7307.770146
55,2,55,106603,1066.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,2,San Fernando Valley Planning Area,15165717.04,17896.82307
56,1,56,106604,1066.04,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3849639.133,9724.941705
57,1,57,106641,1066.41,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1667911.48,7051.582592
58,1,58,106642,1066.42,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2316654.266,7528.676627
59,1,59,106643,1066.43,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,6372077.188,12117.32791
60,1,60,106645,1066.45,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3712567.953,11169.16811
61,1,61,106646,1066.46,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2167441.555,8662.076586
62,1,62,106648,1066.48,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1164576.523,5043.838943
63,1,63,106649,1066.49,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1634040.922,7669.949429
64,1,64,107010,1070.1,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1005791.762,4792.959875
65,1,65,107020,1070.2,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1459988.957,5417.94226
66,1,66,108101,1081.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1657090.828,5417.49538
67,1,67,108102,1081.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3206419.711,7003.111835
68,1,68,108103,1081.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3766536.477,13531.79745
69,2,69,108104,1081.04,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1213212.074,5450.282518
70,2,70,108202,1082.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,8780266.063,13262.11757
71,2,71,108203,1082.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2015622.383,6166.119138
72,1,72,108204,1082.04,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2103618.801,8255.664326
73,1,73,109100,1091,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3972685.023,9730.889634
74,1,74,109200,1092,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1493036.902,5919.858635
75,1,75,109300,1093,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1810110.863,6460.00684
76,1,76,109400,1094,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1894762.754,6477.390037
77,1,77,109500,1095,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1753589.715,7605.449182
78,1,78,109601,1096.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,3298812.727,7417.191456
79,1,79,109603,1096.03,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1465720.258,4954.253426
80,1,80,109604,1096.04,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1724265.867,5300.095428
81,1,81,109700,1097,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2328919.531,6623.211457
82,1,82,109800,1098,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2053411.648,6116.753865
83,1,83,111100,1111,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,1554810.82,5005.30561
84,1,84,111201,1112.01,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2808145.195,9293.317138
85,1,85,111202,1112.02,3RD SUP. DISTRICT,3RD DISTRICT: SHEILA KUEHL,3,LOS ANGELES,,INCORPORATED CITY,3,San Fernando Valley Planning Area,2740025.453,7658.180183
